Date,Open,High,Low,Close,Adj Close,Volume
1997-03-24,12.47,12.47,12.47,12.47,2.26,0
1997-03-25,12.50,12.50,12.50,12.50,2.27,0
1997-03-26,12.55,12.55,12.55,12.55,2.28,0
1997-03-27,12.45,12.45,12.45,12.45,2.26,0
1997-03-31,12.31,12.31,12.31,12.31,2.23,0
1997-04-01,12.27,12.27,12.27,12.27,2.23,0
1997-04-02,12.17,12.17,12.17,12.17,2.21,0
1997-04-03,12.10,12.10,12.10,12.10,2.20,0
1997-04-04,12.20,12.20,12.20,12.20,2.21,0
1997-04-07,12.32,12.32,12.32,12.32,2.24,0
1997-04-08,12.34,12.34,12.34,12.34,2.24,0
1997-04-09,12.37,12.37,12.37,12.37,2.24,0
1997-04-10,12.34,12.34,12.34,12.34,2.24,0
1997-04-11,12.18,12.18,12.18,12.18,2.21,0
1997-04-14,12.17,12.17,12.17,12.17,2.21,0
1997-04-15,12.23,12.23,12.23,12.23,2.22,0
1997-04-16,12.24,12.24,12.24,12.24,2.22,0
1997-04-17,12.27,12.27,12.27,12.27,2.23,0
1997-04-18,12.31,12.31,12.31,12.31,2.23,0
1997-04-21,12.20,12.20,12.20,12.20,2.21,0
1997-04-22,12.20,12.20,12.20,12.20,2.21,0
1997-04-23,12.18,12.18,12.18,12.18,2.21,0
1997-04-24,12.20,12.20,12.20,12.20,2.21,0
1997-04-25,12.12,12.12,12.12,12.12,2.20,0
1997-04-28,12.11,12.11,12.11,12.11,2.20,0
1997-04-29,12.23,12.23,12.23,12.23,2.22,0
1997-04-30,12.29,12.29,12.29,12.29,2.23,0
1997-05-01,12.36,12.36,12.36,12.36,2.24,0
1997-05-02,12.62,12.62,12.62,12.62,2.29,0
1997-05-05,12.84,12.84,12.84,12.84,2.33,0
1997-05-06,12.83,12.83,12.83,12.83,2.33,0
1997-05-07,12.82,12.82,12.82,12.82,2.33,0
1997-05-08,12.80,12.80,12.80,12.80,2.32,0
1997-05-09,12.88,12.88,12.88,12.88,2.34,0
1997-05-12,12.95,12.95,12.95,12.95,2.35,0
1997-05-13,12.96,12.96,12.96,12.96,2.35,0
1997-05-14,12.99,12.99,12.99,12.99,2.36,0
1997-05-15,13.01,13.01,13.01,13.01,2.36,0
1997-05-16,13.00,13.00,13.00,13.00,2.36,0
1997-05-19,13.00,13.00,13.00,13.00,2.36,0
1997-05-20,13.05,13.05,13.05,13.05,2.37,0
1997-05-21,13.08,13.08,13.08,13.08,2.37,0
1997-05-22,13.15,13.15,13.15,13.15,2.39,0
1997-05-23,13.26,13.26,13.26,13.26,2.41,0
1997-05-27,13.28,13.28,13.28,13.28,2.41,0
1997-05-28,13.34,13.34,13.34,13.34,2.42,0
1997-05-29,13.37,13.37,13.37,13.37,2.43,0
1997-05-30,13.43,13.43,13.43,13.43,2.44,0
1997-06-02,13.51,13.51,13.51,13.51,2.45,0
1997-06-03,13.51,13.51,13.51,13.51,2.45,0
1997-06-04,13.55,13.55,13.55,13.55,2.46,0
1997-06-05,13.61,13.61,13.61,13.61,2.47,0
1997-06-06,13.68,13.68,13.68,13.68,2.48,0
1997-06-09,13.73,13.73,13.73,13.73,2.49,0
